还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000100996800,201609010140720100,3037872851427200,LZMGX-08ZX2032,3,30000,5045833
3987937381568803,,300000000100945903,12000000001130822,4,201609010357707122,,,35000,350,35350
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3987937381568803,,300000000100945903,12000000001130135,4,201609010177523035,,,490000,4900,494900
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3987937381568803,,300000000100945903,12000000001130235,4,201609010177523035,,,275000,2750,277750
本期回款总金额:4040000,差额=-1
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000101011703,201609010145250003,3468884541350003,LZMGX-08ZX1068,3,12000,19999
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3468884541350003,,300000000101011703,12000000001449454,3,201609010349273154,,,0,5550,5550
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3468884541350003,,300000000101011703,12000000001449554,3,201609010349273154,,,0,5500,5500
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3468884541350003,,300000000101011703,12000000001449654,3,201609010349273154,,,0,3150,3150
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3468884541350003,,300000000101011703,12000000001449754,3,201609010349273154,,,0,700,700
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3468884541350003,,300000000101011703,12000000001449854,3,201609010349273154,,,0,5100,5100
本期回款总金额:20000,差额=-1
总还款金额:16629149
总还款金额:16629149
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000101121705,201609010042305105,3146506340280405,LZMGX-09ZX1060,2,4000,19999
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3146506340280405,,300000000101121705,12000000002011244,2,201609010303651044,,,0,6900,6900
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3146506340280405,,300000000101121705,12000000002011177,2,201609010013427177,,,0,13100,13100
本期回款总金额:20000,差额=-1
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000101129005,201609010309641005,3427417811038405,LZMGX-09ZX1045,2,10000,49999
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3427417811038405,,300000000101129005,12000000002034310,2,201609010313299010,,,0,200,200
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3427417811038405,,300000000101129005,12000000002034149,2,201609010080167049,,,0,4950,4950
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3427417811038405,,300000000101129005,12000000002034249,2,201609010080167049,,,0,12300,12300
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3427417811038405,,300000000101129005,12000000002034488,2,201609010084181088,,,0,2300,2300
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3427417811038405,,300000000101129005,12000000002034588,2,201609010084181088,,,0,10000,10000
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3427417811038405,,300000000101129005,12000000002034692,2,201609010419219092,,,0,20250,20250
本期回款总金额:50000,差额=-1
总还款金额:16699149
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000101292606,201609010103254006,3412234442656006,LZMGX-10ZX2061,1,2000,9166
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3412234442656006,,300000000101292606,12000000002656931,1,201609010088440031,,,0,9166,9166
本期回款总金额:9166,差额=0
总还款金额:16708315
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000100815607,201609010179611107,3323563721988807,LZMGX-05ZX1016,6,6000,1009999
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
